date,event,category,venue,funding_source,attendance,cost_chf,income_chf
2026-01-08,Residency Showcase,Residency,Grosse Halle,Ticket sales,47,1015.43,653.6
2026-01-09,Open Studio,Community,Off-site,Pro Helvetia,17,791.19,566.57
2026-01-12,Klangraum Series,Concert,Studio 2,Kanton Bern,133,1751.19,1879.92
2026-01-12,Field Recording Workshop,Workshop,Radio Studio,Kanton Bern,4,304.09,131.25
2026-01-13,Artist Talk: Listening,Talk,Studio 2,Membership,34,747.38,271.67
2026-01-14,Youth Sound Lab,Education,Studio 2,Membership,19,464.86,283.63
2026-01-17,Open Studio,Community,Grosse Halle,Kanton Bern,44,1203.56,688.13
2026-01-18,Field Recording Workshop,Workshop,Grosse Halle,Kanton Bern,25,323.52,174.3
2026-01-18,Artist Talk: Listening,Talk,Off-site,Stadt Bern,51,1034.27,889.08
2026-01-22,Open Studio,Community,Grosse Halle,Kanton Bern,31,711.24,368.83
2026-01-23,Field Recording Workshop,Workshop,Studio 2,Kanton Bern,23,533.68,388.15
2026-01-26,Youth Sound Lab,Education,Studio 2,Kanton Bern,53,720.35,538.38
2026-02-02,Residency Showcase,Residency,Off-site,Kanton Bern,64,1074.91,983.03
2026-02-04,Field Recording Workshop,Workshop,Studio 2,Stadt Bern,16,682.01,607.78
2026-02-06,Open Studio,Community,Off-site,Membership,53,960.6,760.7
2026-02-10,Klangraum Series,Concert,Off-site,Ticket sales,127,1681.63,1502.0
2026-02-10,Youth Sound Lab,Education,Grosse Halle,Pro Helvetia,28,863.4,467.24
2026-02-13,Residency Showcase,Residency,Studio 2,Membership,65,896.58,342.11
2026-02-17,Klangraum Series,Concert,Off-site,Kanton Bern,119,878.24,355.17
2026-02-17,Youth Sound Lab,Education,Grosse Halle,Ticket sales,25,378.05,155.21
2026-02-19,Open Studio,Community,Grosse Halle,Ticket sales,9,582.89,504.51
2026-02-21,Residency Showcase,Residency,Radio Studio,Pro Helvetia,57,1214.68,517.98
2026-02-22,Youth Sound Lab,Education,Grosse Halle,Pro Helvetia,20,353.57,403.71
2026-03-01,Klangraum Series,Concert,Off-site,Ticket sales,121,1961.22,1503.0
2026-03-01,Artist Talk: Listening,Talk,Radio Studio,Kanton Bern,42,451.13,433.23
2026-03-02,Field Recording Workshop,Workshop,Studio 2,Stadt Bern,18,684.43,545.85
2026-03-03,Youth Sound Lab,Education,Radio Studio,Kanton Bern,34,676.8,623.17
2026-03-11,Klangraum Series,Concert,Off-site,Kanton Bern,114,2001.74,1751.12
2026-03-11,Residency Showcase,Residency,Studio 2,Stadt Bern,62,1162.09,878.06
2026-03-12,Residency Showcase,Residency,Grosse Halle,Kanton Bern,55,1010.87,722.44
2026-03-14,Youth Sound Lab,Education,Grosse Halle,Stadt Bern,13,372.22,279.85
2026-03-15,Field Recording Workshop,Workshop,Off-site,Pro Helvetia,15,831.97,347.11
2026-03-22,Open Studio,Community,Grosse Halle,Ticket sales,34,684.39,578.32
2026-03-23,Residency Showcase,Residency,Studio 2,Stadt Bern,67,1355.92,975.49
2026-03-23,Youth Sound Lab,Education,Studio 2,Stadt Bern,30,873.3,873.07
2026-03-24,Klangraum Series,Concert,Off-site,Pro Helvetia,112,847.76,433.05
2026-03-24,Artist Talk: Listening,Talk,Radio Studio,Membership,36,511.64,500.17
2026-03-30,Field Recording Workshop,Workshop,Grosse Halle,Pro Helvetia,45,965.28,776.32
2026-03-31,Klangraum Series,Concert,Studio 2,Ticket sales,92,1249.64,1540.11
2026-04-03,Klangraum Series,Concert,Grosse Halle,Kanton Bern,115,1356.2,1125.39
2026-04-03,Field Recording Workshop,Workshop,Off-site,Ticket sales,4,603.96,526.08
2026-04-06,Open Studio,Community,Off-site,Membership,29,719.76,325.95
2026-04-08,Artist Talk: Listening,Talk,Radio Studio,Membership,54,868.36,803.22
2026-04-08,Residency Showcase,Residency,Studio 2,Pro Helvetia,67,1451.19,1619.08
2026-04-09,Field Recording Workshop,Workshop,Off-site,Stadt Bern,5,642.04,623.99
2026-04-11,Open Studio,Community,Radio Studio,Stadt Bern,14,677.83,354.04
2026-04-11,Youth Sound Lab,Education,Grosse Halle,Stadt Bern,30,892.69,468.39
2026-04-12,Residency Showcase,Residency,Off-site,Pro Helvetia,58,1366.11,780.94
2026-04-16,Youth Sound Lab,Education,Grosse Halle,Ticket sales,27,626.97,689.01
2026-04-18,Field Recording Workshop,Workshop,Grosse Halle,Membership,16,669.64,610.16
2026-04-18,Open Studio,Community,Radio Studio,Kanton Bern,51,947.37,517.58
2026-04-20,Residency Showcase,Residency,Studio 2,Kanton Bern,64,1112.77,1305.66
2026-04-21,Artist Talk: Listening,Talk,Off-site,Ticket sales,36,783.39,855.98
2026-04-24,Field Recording Workshop,Workshop,Grosse Halle,Stadt Bern,24,769.3,408.38
2026-04-27,Open Studio,Community,Studio 2,Kanton Bern,33,849.04,438.17
2026-04-29,Artist Talk: Listening,Talk,Studio 2,Stadt Bern,50,1107.7,868.29
2026-05-02,Klangraum Series,Concert,Off-site,Stadt Bern,124,1415.81,1469.96
